date,negative,neutral,positive,daily_sentiment_label
2018-03-01,4,2,1,negative
2018-03-02,1,5,0,neutral
2018-03-05,1,3,2,neutral
2018-03-06,0,4,0,neutral
2018-03-07,0,7,1,neutral
2018-03-08,1,2,2,neutral
2018-03-09,3,1,1,negative
2018-03-12,2,1,4,positive
2018-03-13,1,3,2,neutral
2018-03-14,1,1,3,positive
2018-03-15,3,3,1,neutral
2018-03-16,4,2,0,negative
2018-03-19,1,5,1,neutral
2018-03-20,0,4,1,neutral
2018-03-21,1,3,1,neutral
2018-03-22,2,4,1,neutral
2018-03-23,0,1,3,positive
2018-03-26,2,2,1,negative
2018-03-27,1,3,2,neutral
2018-03-28,3,4,0,neutral
2018-03-29,2,2,0,negative
2018-04-02,2,0,1,negative
2018-04-03,0,3,1,neutral
2018-04-04,1,1,0,neutral
2018-04-05,1,5,2,neutral
2018-04-06,2,1,1,negative
2018-04-09,4,2,0,negative
2018-04-10,0,3,5,positive
2018-04-11,1,3,1,neutral
2018-04-12,0,3,3,neutral
2018-04-13,3,1,1,negative
2018-04-16,2,3,1,neutral
2018-04-17,2,1,2,positive
2018-04-18,4,0,0,negative
2018-04-19,1,3,3,neutral
2018-04-20,1,2,2,neutral
2018-04-23,3,1,1,negative
2018-04-24,3,1,1,negative
2018-04-25,1,1,0,negative
2018-04-26,2,6,2,neutral
2018-04-27,2,1,1,negative
2018-04-30,1,3,1,neutral
2018-05-01,1,1,2,positive
2018-05-02,0,5,0,neutral
2018-05-03,2,3,3,positive
2018-05-04,2,1,4,positive
2018-05-05,0,0,1,positive
2018-05-07,1,4,0,neutral
2018-05-08,0,3,3,positive
2018-05-09,1,1,1,positive
2018-05-10,2,2,2,neutral
2018-05-11,1,1,2,positive
2018-05-14,1,1,0,negative
2018-05-15,3,1,1,negative
2018-05-16,3,2,2,negative
2018-05-17,2,0,0,negative
2018-05-21,1,3,0,neutral
2018-05-22,2,3,1,neutral
2018-05-23,1,2,3,positive
2018-05-24,1,2,1,neutral
2018-05-29,2,1,2,negative
2018-05-30,1,1,1,neutral
2018-05-31,0,2,1,neutral
2018-06-01,2,0,3,positive
2018-06-04,1,4,0,neutral
2018-06-05,1,2,1,neutral
2018-06-06,1,3,1,neutral
2018-06-07,0,1,0,neutral
2018-06-08,1,2,0,neutral
2018-06-11,0,2,2,neutral
2018-06-12,1,4,2,neutral
2018-06-13,3,1,1,negative
2018-06-14,0,3,1,neutral
2018-06-15,3,4,1,neutral
2018-06-18,2,1,1,negative
2018-06-19,2,3,2,neutral
2018-06-20,2,1,1,negative
